Sentiment_Manual,Sentiment_Bert,Date,Username,Tweet,Phase
positive,positive,2024-07-25 01:27:00,doeeyeskook,hope rotten mango cover late zulfarhan osman case coz love storytelling️,Phase 4
positive,positive,2024-07-25 00:05:00,doktunggulagi,ambil pengajaran kisah tahu ujian kelak kalau ikutkan tertuduh cuma tekap sekali sahaja tapi talus gantung iktibar perkara belajar katakan satusatu arahan terutama sedang alam pekerjaan,Phase 4
neutral,neutral,2019-01-24 12:02:00,zomdykiwi,kes pendakwaan kan belum masuk pembelaan,Phase 2
negative,negative,2021-11-02 14:17:00,syamsul_nazri,doa kalau keputusan mahkamah ada unsur bawah meja sebab kebanyakan parent suspek bukan orang biasa moga allah tarik ketenangan keberkatan hidup keluarganya keturunannyatermasuklah hakim makan suapmaaf lh komen kesat sikit,Phase 3
neutral,neutral,2025-03-01 17:14:00,GenZMalaysia,six former universiti pertahanan nasional malaysia upnm student previously convict murder navy cadet officer zulfarhan osman zulkarnain longer meet hangman,Phase 4
neutral,neutral,2021-07-28 08:41:00,malaysiakini,court high set sept hear final submission case upnm student charge murder cadet marine officer zulfarhan osman zulkarnain,Phase 2
neutral,neutral,2025-03-01 02:16:00,staronline,late zulfarhan osman family could accept final verdict stoicism tragedy leave permanent scar,Phase 4
neutral,neutral,2021-11-10 06:45:00,NewsBFM,father cadet officer zulfarhan osman believe son would still alive today bomoh accuse steal laptop zulkarnain idros tell fmt take stab dark proof name pop bernama,Phase 3
negative,negative,2024-07-25 04:37:00,thekimzj,buang kapten,Phase 4
negative,negative,2025-03-01 10:38:00,HeyyAmir,macam dibayar nikenapa dibuat experiment tekap orang,Phase 4
positive,positive,2024-07-26 16:02:00,sha_hussin,kalau bantuan kewangan upah lawyer malaysia sudi bantu,Phase 4
negative,negative,2025-03-01 04:51:00,airintete,kimak sengaja macam celaka,Phase 4
neutral,neutral,2024-07-25 14:00:00,NewsBFM,suhakam say share grief anguish family zulfarhan osman zukarnain recognise severity crime however sentence six exunpm student death mark sad solemn day malaysias judicial history,Phase 4
negative,negative,2024-07-23 04:39:00,acbnrff,patut gantung kren dekat dataran merdeka hari ahad esoknya cuti umum,Phase 4
positive,positive,2024-07-24 12:30:00,kerandajingga,alhamdulillah,Phase 4
neutral,neutral,2021-11-02 03:58:00,vincentdepaul12,universiti pertahanan nasional malaysia student find guilty homicide conspiracy cause hurt cadet officer zulfarhan osman zulkarnain,Phase 3
neutral,neutral,2021-11-02 15:25:00,NewsBFM,zulfarhans mother hawa osman say become paranoid allow child pursue study far home still traumatise happen eldest son trauma membenarkan anakanak lain memasuki badan beruniform,Phase 3
negative,negative,2024-07-25 05:29:00,azrul_ridzuan_,layak kapten kalau level macam elok buang tentera ambil lebih bertanggung jawab hidup makan duit tax payer tapi benda basic takle handle,Phase 4
neutral,neutral,2021-11-02 09:19:00,btriesysy,lepas dorang masuk penjara nanti duk sajasaja kene sebat sorry tanya,Phase 3
negative,negative,2025-03-01 11:21:00,easternauroraa,sengaja kepala butoh,Phase 4
positive,positive,2024-05-16 01:52:00,fazz_dongiltiny,sokong buat ape nak bazir duit menyara pembunuh penjara,Phase 3
positive,positive,2021-11-03 00:56:00,mumyakim,semoga arwah tenang ditempatkan dikalangan org berimanal fatihah,Phase 3
negative,negative,2023-11-08 15:12:00,Cakkkk10,lupa marah sangat dulu follow setiap update mamat first keluar masuk court muka samseng saiko dah bunuh member tiada penyesalan langsung betulbetul,Phase 3
neutral,neutral,2021-11-02 05:22:00,TMReserve,six upnm student find guilty culpable homicide death zulfarhan osman court,Phase 3
neutral,neutral,2024-07-26 11:25:00,zee_yusoff,pmx would despise online bully case rm price tag first time offender also channel energy curb kind kill slowly mentally amp physically assist father decease uphold justice,Phase 4
positive,positive,2021-11-03 08:33:00,ParisAr42442891,tiada katakata nak titipkan ibu bapa arwah melainkan doa moga sentiasa yakin bahawa allah maha adil kuatkan semangat bersama penyayang,Phase 3
negative,negative,2025-02-28 15:08:00,yrmallork,hakim percaya kata jahanam kau tenang jugak hidup,Phase 4
neutral,neutral,2020-12-29 07:39:00,fmtoday,forensic expert testifies case upnm student charge murder abet injure zulfarhan osman zulkarnain fmtnews highcourt,Phase 2
negative,negative,2024-07-24 13:02:00,DrWiket,tolong tengok balik record visit allahyarham klinik tersebut macam mana doktor bertugas discharge patient mengalami severe burn wound tb area gt nd degree rd termasuk bahagian kemaluan,Phase 4
positive,positive,2025-02-28 11:18:00,AiShiho1,allahsemoga allah swt berikan ketabahan kekuatan kepada keluarga allahyarham zulfarhan,Phase 4
positive,positive,2024-07-23 05:42:00,Tuliiipps,keadilan arwah semoga mnjadi pengajaran,Phase 4
positive,positive,2024-07-26 11:12:00,TemporaryWorld9,sokong saman upnm bukan dapat duit sahaja tetapi supaya insaf pastikan jenayah menimpa arwah zulfalhan berlaku kepada anak orang lain,Phase 4
negative,negative,2025-02-28 14:23:00,inanobiy,tapi zulfarhan terbukti mati,Phase 4
negative,negative,2025-02-28 16:24:00,Zeiaasnawi,nak gambar pembunuh latestkalau masa keluar penjara tahun datang tolong siarkan muka secara live tengok supaya pulaukan sampai mampu hidup masyarakathidup la ketakutan bersalah seumur,Phase 4
neutral,neutral,2020-12-29 09:25:00,MalaysiaGazette,naval cadet officer zulfarhan osman zulkarnain die bacterial infection chest major burn sequela malaysiagazette,Phase 2
negative,negative,2023-11-10 13:58:00,Sauffie84,kalau buat hal semua tunggu tauliah dah terlepas hukuman mati masa depan gelap temuduga kerja majikan mesti tanya apahal ada nombor tentera cop penjara kau kena buang dekat belakang mykad tulis b nak,Phase 3
neutral,neutral,2024-07-26 09:49:00,malaymail,parent late zulfarhan osman today say none individual responsible son death come forward apologise since incident radio interview father zulkarnain idros mother hawa accuse,Phase 4
neutral,neutral,2024-08-15 01:00:00,aliranmalaysia,human right commission malaysia suhakam express deepest condolence family zulfarhan osman zulkarnain whose tragic death june profoundly affect nation abolishmentofdeathpenalty,Phase 4
neutral,neutral,2018-04-26 11:27:00,bernamadotcom,witness unsure zulfarhan osman allergic prescribed medication,Phase 2
positive,positive,2025-03-01 03:41:00,NNisamustafa,commit crime punishment nauzubillahiminzalik jihad amar makruf nahi mungkar reminder buat semua,Phase 4
neutral,neutral,2024-07-23 06:24:00,PrimaFacie_99,huge malaysian court appeal pronounce death penalty penal code zulfarhan osman murder mandatory abolish might one first ever case court trigger discretion,Phase 4
positive,positive,2025-03-01 03:41:00,NNisamustafa,commit crime punishment nauzubillahiminzalik jihad amar makruf nahi mungkar reminder buat semua,Phase 4
negative,negative,2019-07-31 05:58:00,Rahmanators,yeah gantung menghitung hari,Phase 2
neutral,neutral,2019-11-05 12:45:00,staronline,first accuse murder universiti pertahanan nasional malaysia upnm naval cadet officer zulfarhan osman zulkarnain admit place hot iron victim sole knee,Phase 2
positive,positive,2017-06-03 18:00:00,Aaaamaannn,heart dua family zulfarhan osman zulkarnian may allah help difficult time,Phase 1
positive,positive,2024-07-25 09:50:00,Scoopdotmy,instagram page whistleblower attempt seek help naval cadet zulfarhan osman zulkarnain senseless death flood wellwishes netizens,Phase 4
negative,negative,2021-11-03 05:58:00,zieabdullah69,kesemua budakbudak binatang manusia mana pergi otak nama student universiti memalukanduduklah kau dilokap tahunpadankan mukaelok diganyangkan tekap balik iron badan masingmasing,Phase 3
neutral,neutral,2024-07-29 12:13:00,nhakims,navy cadet burn death hot iron bullies｜zulfarhan osman via,Phase 4
positive,neutral,2025-03-01 05:32:00,bvbblystvr,ada baca komen anggap allah izinkan semua keputusan sebab nak settle dekat akhirat biarkan ibu bapa arwah zulfarhan sebagai orang teraniaya sampai bila doa depa makbul,Phase 4
neutral,neutral,2025-03-01 03:11:00,imannuraim,dark side court case defend anything lessen charge againts client,Phase 4
neutral,neutral,2021-03-30 12:14:00,bernamadotcom,upnm student tell kuala lumpur high court today someone punch cadet marine officer zulfarhan osman zulkarnain victim room university jebat hostel building,Phase 2
positive,positive,2019-07-09 04:35:00,mixbear09,sempat ramai mendoakan supaya arwah dapat keadilan,Phase 2
negative,negative,2021-11-02 22:49:00,xiraazira,dah tau cedera macam kau bagi tahun kenapa kurang tambah la sebatan adoii kalau da cakap ada niat membunuh abis die hentam arwah apa bergurau senda,Phase 3
positive,positive,2024-07-24 02:04:00,Jeff4Malaysia,justice year court appeal impose death sentence former national defence university upnm student murder navy cadet zulfarhan osman zulkarnain perwira culture want zul farhan die vain,Phase 4
positive,positive,2017-06-05 15:09:00,emmericium,alfatihah arwah zulfarhan osman dont know hope allah put among pious may grant highest paradise,Phase 1
neutral,neutral,2024-07-27 03:00:00,syamhassan,manamana lawyer sudi bantu,Phase 4
neutral,neutral,2024-07-26 11:25:00,zee_yusoff,pmx would despise online bully case rm price tag first time offender also channel energy curb kind kill slowly mentally amp physically assist father decease uphold justice,Phase 4
negative,negative,2025-02-28 13:47:00,Nemo_Dessert,hukum mati bagi diaorg rasa apa arwah dah nak masuk bulan puasa maki hamun,Phase 4
neutral,neutral,2019-07-31 12:18:00,NewsBFM,national defence university malaysia student order kl high court enter murder case cadet officer zulfarhan osman zulkarnain come prosecution successfully prove prima facie end submission,Phase 2
neutral,neutral,2021-11-03 11:27:00,lawreviewUM,cause death marine cadet officer zulfarhan osman zulkarnain although prosecution prove harmed six accuse fail prove intention murder,Phase 3
negative,negative,2025-02-28 12:02:00,atehhhhhhhhh,kalau kematian takat penjara kes buli lain kira picisan la pantat,Phase 4
neutral,neutral,2021-11-02 07:37:00,GeorgeGerald,upnm student find guilty culpable homicide death zulfarhan osman,Phase 3
neutral,neutral,2021-11-02 07:37:00,GeorgeGerald,upnm student find guilty culpable homicide death zulfarhan osman,Phase 3
neutral,neutral,2017-11-17 11:40:00,SCMPNews,malaysian tragedy torture murder cadet zulfarhan osman,Phase 1
positive,positive,2024-05-16 01:52:00,fazz_dongiltiny,sokong buat ape nak bazir duit menyara pembunuh penjara,Phase 3
positive,positive,2025-03-02 00:32:00,shazwani_osman,family arwah sebagai orang teranaiya inshaaallah dimakbulkan doa allah bagi balasan kepada terlibat secara langsung amp dunia akhirat,Phase 4
neutral,neutral,2020-12-30 00:57:00,dhiyaafie,maksudnya mangsa meninggal bukan dibunuh sorry kurang jelas perenggan kedua,Phase 2
negative,negative,2025-02-28 12:23:00,Astral_5,lawyer amp pakar beratur belakang mstar nanti,Phase 4
neutral,neutral,2019-01-23 13:10:00,NST_Online,nstcourt witness saw one accuse cadet marine officer zulfarhan osman zulkarnain murder case hold steam iron,Phase 2
positive,positive,2024-07-26 12:33:00,ImDianaDanielle,uncle saman tolong behind pandai buka uni panda jaga pelajar enroll diam betul upmn,Phase 4
neutral,neutral,2021-11-01 07:33:00,NST_Online,nstnation university pertahanan nasional malaysia upnm student stand trial death cadet officer zulfarhan osman zulkarnain four year ago learn fate tomorrow,Phase 3
negative,negative,2025-03-02 02:02:00,AbdulAedy,bagi pakar rasa kena iron steam macam mana,Phase 4
negative,negative,2024-05-16 00:08:00,Reban88591851,setuju ekor dicucuh seterika kote teloq sehingga cair,Phase 3
positive,positive,2024-07-23 08:14:00,Scoopdotmy,alhamdulillah finally along tragic death avenge sentiment express family late zulfarhan osman zulkarnain fondly know member court appeal today order six former student upnm hang,Phase 4
neutral,neutral,2020-12-30 00:57:00,dhiyaafie,maksudnya mangsa meninggal bukan dibunuh sorry kurang jelas perenggan kedua,Phase 2
neutral,neutral,2024-07-27 07:06:00,NewsBFM,malaysian crime prevention foundation say death sentence hand former upnm student murder zulfarhan osman appropriate mcpf disagree objection raise suhakam need,Phase 4
neutral,neutral,2024-07-26 09:49:00,malaymail,parent late zulfarhan osman today say none individual responsible son death come forward apologise since incident radio interview father zulkarnain idros mother hawa accuse,Phase 4
neutral,neutral,2024-07-23 05:04:00,NewsBFM,court appeal impose death sentence six former upnm student convict murder navy cadet zulfarhan osman zulkarnain say warrant give cruelty accused action,Phase 4
positive,positive,2019-07-31 04:42:00,RaziAriff,tahniah pasukan pendakwaan,Phase 2
negative,negative,2024-07-23 09:30:00,hazlamiharun1,patutnya warden ketika kejadian tuu ambil tindakan,Phase 4
negative,negative,2021-11-03 03:17:00,brothetman,diwaktu sama jangan terlepas pandang kisah sedih arwah adib hingga kini keadilan dicari belum diketemui semestinya mak lampir menunaikan janji palsunya,Phase 3
neutral,neutral,2024-07-25 18:10:00,NST_Online,nstletters death national defence university upnm navy cadet zulfarhan osman zulkarnain shock nation bully,Phase 4
negative,negative,2024-11-09 17:03:00,guaneramok,kira selamat tinggal karier kerajaan angkatan bersenjatalepas duduk masyarakat ubah perangai jangan suka membuli orang lainpanjang lain perjalanan hiduppilih baik,Phase 4
neutral,neutral,2021-11-02 04:59:00,MNowNews,kuala lumpur high court say cause injury zulfarhan osman without intent kill mnow upnm homicide,Phase 3
negative,negative,2025-03-01 06:08:00,norhananiza,pakar mana sial,Phase 4
negative,negative,2025-02-28 09:13:00,SaifulA77188378,berlaku salah amp dapati bersalah mahkamah dua perkara berbeza ia bergantung kepada kebijaksanaan peguam berhujah peritkan tapi kaedah digunapakai law justice mutually exclusive,Phase 4
positive,positive,2024-07-27 15:21:00,KucinSuzzy,saman kerajaan warden sekali,Phase 4
negative,negative,2024-11-08 18:01:00,TheTulip__,benda berlarutan selagi de warden kena apa tindakan mana kenapa berlaku kes macam lepas melibatkan pelajar sebab budaya rag dekat sana dianggap biasa,Phase 4
positive,positive,2024-07-24 14:02:00,khairlrazi,selalunya membuli mak bapak orang besar dibuli biasa sedang hangat bicara kes ada buli berlaku semoga allah lindungi keluarga drpd ujian sebegini,Phase 4
neutral,neutral,2018-10-24 14:51:00,baikragu,tomorrow court hear zulfarhan osman murder case,Phase 2
negative,negative,2025-03-01 05:35:00,atamasho,bodohnya pakar jenis apa sial macamni orang dah kena belasah pastu iron banyak kali bukan sekali la bodoh memang bangang malaysia joke,Phase 4
positive,positive,2024-07-27 13:25:00,solennjk,tolong saman pakcik tolonglah upnm lepas tangan menjalankan tanggungjawab sepatutnya ramai student teraniaya least mungkin polisi universiti berubah lebih mementingkan kebajikan,Phase 4
positive,positive,2024-05-16 12:31:00,m_iqone,betapa siksa sadisnya arwah kesakitan penderaan dilakukan pembunuh inihukuman mati setimpal perbuatan seumpama,Phase 3
positive,positive,2024-05-17 08:44:00,hui_guifei,kenapa pendakwa raya minta hukuman maximum sebab tahu laporan penuh macam mana arwah zulfarhan diseksa terseksa sehingga nafas terakhir,Phase 3
positive,positive,2017-06-05 06:34:00,HanaFisyora,justice zulfarhan osman,Phase 1
neutral,neutral,2021-11-03 06:50:00,TMReserve,upnm atm tell let incident befall zulfarhan osman happen,Phase 3
neutral,neutral,2021-03-30 12:14:00,bernamadotcom,upnm student tell kuala lumpur high court today someone punch cadet marine officer zulfarhan osman zulkarnain victim room university jebat hostel building,Phase 2
negative,negative,2024-07-23 23:16:00,iam_amli,rasa gantung ez disebabkan diaorng tau kematian depa betulbetul taubat adil kalau letak penjara mereput seumur hidup biar erti penyesalan idk im judge,Phase 4
neutral,neutral,2024-08-07 15:13:00,Jefflee8084Lee,july six former student national defense university malaysia upnm sentence death malaysian court appeal murder naval cadet zulfarhan osman zulkarnain seven year ago,Phase 4
positive,positive,2025-02-28 08:13:00,Honey_150214,justice zulfarhan osman,Phase 4
negative,negative,2025-03-01 02:51:00,filiaandree,speak volume justice system country also send distressing message bully victim everywhere powerless,Phase 4
negative,negative,2025-03-01 00:47:00,Arep_Cantona,ayat sekumpulan babi pembunuh kejam,Phase 4
neutral,neutral,2019-01-24 04:07:00,mhdfdllh,salah hakim ketuk tukul jatuhkan hukuman belum,Phase 2
neutral,neutral,2025-03-07 10:58:00,umconstiteam,upnm bully case death sentence overturn zulfarhan osman remain tragic reminder danger haze institutional violence spark national debate justice accountability student safety umct infographics,Phase 4
positive,positive,2024-07-23 10:55:00,hotchwife,bayangkan seluruh negara bersyukur dijatuhkan hukuman gantung besarnya doa orang teraniaya mata allah rest well mak ayah zulfarhan guy serve justice son stead,Phase 4
positive,positive,2024-07-23 04:51:00,tolakrasuah,terbaik sebagai pengajaran,Phase 4
positive,positive,2024-05-16 02:02:00,lostmygodamind,nyawa bayar payah nak bela pembunuhpembunuh berguna dah tiada masa depan elok mati sekor,Phase 3
neutral,neutral,2017-06-19 15:23:00,levibih07,mendiang nhaveen amp arwah zulfarhan osman really open eye extent bully malaysia get,Phase 1
negative,negative,2019-07-09 07:17:00,yoizfxiz,mana budakbudak dapat duit hire lawyer profil tinggi gila babi siot,Phase 2
positive,positive,2018-06-29 07:22:00,peachjahashim,may justice serve upnm cadet officer zulfarhan osman zulkarnain torture student high court tell,Phase 2
neutral,neutral,2021-11-03 07:07:00,ZyiteGadgets,verdict naval cadet zulfarhan osmans case hisham warn upnm armed force never let heinous act recur,Phase 3
positive,positive,2024-07-27 15:43:00,miruladdin,saman jangan bagi muka,Phase 4
neutral,neutral,2021-11-03 00:42:00,rahmatrashid,siapa kah doktor klinik swasta bertanggung jawab,Phase 3
neutral,neutral,2024-07-23 05:55:00,nikhajarr,recap arwah zulfarhan murder case osman zulkarnain finalyear naval cadet upnm may accuse fellow cadet steal laptop lead tragic series event,Phase 4
positive,positive,2019-07-31 01:48:00,nabilahrshdn,pray amp hope justice prevail today arwah zulfarhan osman justiceforzulfarhan,Phase 2
positive,positive,2024-07-26 13:05:00,Rf96Rf96,saman,Phase 4
positive,positive,2025-03-02 00:32:00,shazwani_osman,family arwah sebagai orang teranaiya inshaaallah dimakbulkan doa allah bagi balasan kepada terlibat secara langsung amp dunia akhirat,Phase 4
neutral,neutral,2024-11-01 03:15:00,malaymail,father murder army cadet zulfarhan osman zulkarnain express sadness abuse still happen universiti pertahanan nasional malaysia upnm harian metro cite idros say shock similar suffer late son,Phase 4
neutral,neutral,2017-06-03 00:38:00,MalaysiaGazette,navy cadet zulfarhan osman death investigate via malaysiagazette,Phase 1
positive,positive,2024-02-14 10:48:00,Mariya_takeuci,year already alfatihah zulfarhan osman,Phase 3
negative,negative,2024-07-27 11:18:00,Iskanda28144900,mana badan peguam patut nya isu kena ambil peduli,Phase 4
positive,positive,2024-07-24 02:04:00,Jeff4Malaysia,justice year court appeal impose death sentence former national defence university upnm student murder navy cadet zulfarhan osman zulkarnain perwira culture want zul farhan die vain,Phase 4
negative,negative,2024-07-25 09:07:00,HzzLsa,kenapa warden kena apaapa langsung bersuka ria dekat luar tunggu pembalasan dunia akhirat menanti,Phase 4
positive,positive,2024-05-16 10:50:00,Jaen8347,elok la hukum gantung sampai mati,Phase 3
neutral,neutral,2024-06-18 13:41:00,Margare96602396,navy cadet burn death hot iron bullies｜zulfarhan osman via,Phase 3
neutral,neutral,2025-03-07 10:58:00,umconstiteam,upnm bully case death sentence overturn zulfarhan osman remain tragic reminder danger haze institutional violence spark national debate justice accountability student safety umct infographics,Phase 4
neutral,neutral,2024-07-23 05:04:00,NewsBFM,court appeal impose death sentence six former upnm student convict murder navy cadet zulfarhan osman zulkarnain say warrant give cruelty accused action,Phase 4
neutral,neutral,2024-06-18 13:41:00,Margare96602396,navy cadet burn death hot iron bullies｜zulfarhan osman via,Phase 3
negative,negative,2025-02-28 15:05:00,f4me_z4u,fungsi ka undangundang malaysia,Phase 4
negative,negative,2025-03-02 02:02:00,AbdulAedy,bagi pakar rasa kena iron steam macam mana,Phase 4
negative,negative,2025-02-28 10:54:00,SyfqqAmirul,semoga mampus penjara,Phase 4
neutral,neutral,2020-04-09 16:50:00,syeraaaa6,punishment retribution,Phase 2
negative,negative,2025-02-28 13:59:00,HilmiYang,dah tekap seterika sengaja aje nye kepala butoh,Phase 4
neutral,neutral,2021-12-10 08:08:00,maf73,case zulfarhan osman zulkarnain everyone know dont need elaborate,Phase 3
negative,negative,2021-11-03 03:58:00,RichardMalek11,tenterabunuh dn bunuhbunuh musuh bukan kawan sendiri,Phase 3
positive,positive,2024-07-27 07:08:00,freifechter,think fair guy six torture zulfarhan osman two day,Phase 4
neutral,neutral,2021-11-01 07:59:00,imminent_news,🇲🇾 nstnation university pertahanan nasional malaysia upnm student stand trial death cadet officer zulfarhan osman zulkarnain four year ago learn fate tomorrow mostshared,Phase 3
negative,neutral,2020-09-07 15:36:00,AzliyatunShima,sicken reminds zulfarhan osman case,Phase 2
neutral,neutral,2017-06-03 08:24:00,UpdatesMalaysia,higher education ministry view zulfarhan osmans death seriously minis,Phase 1
neutral,neutral,2019-11-05 12:45:00,staronline,first accuse murder universiti pertahanan nasional malaysia upnm naval cadet officer zulfarhan osman zulkarnain admit place hot iron victim sole knee,Phase 2
positive,positive,2024-07-24 12:58:00,ritzramo,lepas nie kes adib pula dapat keadilan sepenuhnya,Phase 4
positive,positive,2024-07-23 05:42:00,Tuliiipps,keadilan arwah semoga mnjadi pengajaran,Phase 4
positive,positive,2024-07-25 08:27:00,Peaceworld9111,terbaik leftenan pegawai tentera prihatin,Phase 4
positive,positive,2024-07-23 08:14:00,Scoopdotmy,alhamdulillah finally along tragic death avenge sentiment express family late zulfarhan osman zulkarnain fondly know member court appeal today order six former student upnm hang,Phase 4
neutral,neutral,2021-11-01 07:59:00,imminent_news,🇲🇾 nstnation university pertahanan nasional malaysia upnm student stand trial death cadet officer zulfarhan osman zulkarnain four year ago learn fate tomorrow mostshared,Phase 3
positive,positive,2024-07-27 00:27:00,apis_sudin,saman ja jangan amik lawyer melayu mesti upnm kalah,Phase 4
neutral,neutral,2021-11-02 06:37:00,daily_malaysian,high court sentence six student national defence university upnm year jail cause death navy cadet zulfarhan osman zulkarnain four ago malaysia malaysiaprihatin menangbersama,Phase 3
negative,negative,2025-03-01 21:35:00,FirashAliff,pergi mampos korang punya menyesal babiii ekor keturunan babi mak bapak pandai main memang tersiall,Phase 4
negative,negative,2024-07-25 11:40:00,MalayaKristen,news zulfarhan osman zulkarnain murder belacan specie stray moral law islams allah satan guide misguid e whoever like murderous prophet also deserve deepest level hell compare adolf hiltles,Phase 4
positive,positive,2024-05-16 08:55:00,Mukhlis09_,hutang darah dibayar,Phase 3
positive,positive,2024-07-26 14:40:00,Farishaafrnaaa,sampai ada kematian memang patut disaman pihak pengurusan upnm terlibat secara langsung diambil tindakan alert kebajikan pelajar,Phase 4
negative,negative,2025-03-01 01:38:00,aimannhaakimm,orang buat patutnya experiment seterika kali dekat badan tengok semestinya mati berfungsi dr situ average berapa hidup,Phase 4
positive,positive,2024-05-16 01:52:00,fazz_dongiltiny,sokong buat ape nak bazir duit menyara pembunuh penjara,Phase 3
positive,negative,2024-05-16 02:07:00,Rainism08,yes punishment take,Phase 3
neutral,neutral,2017-06-02 23:23:00,mynameissyauqi,want aware bullyingturned murder case half hour agozulfarhan osman bin zulkarnain navy cadet upnm pass yo,Phase 1
positive,positive,2024-07-26 13:12:00,MekMomek72461,mulakan saman balik pakcik sekarang zaman madani jangan risau,Phase 4
positive,positive,2019-07-09 04:35:00,mixbear09,sempat ramai mendoakan supaya arwah dapat keadilan,Phase 2
negative,negative,2020-04-10 04:57:00,Arezhami,apelah susah nak hukum iron badan one,Phase 2
neutral,neutral,2021-11-03 07:03:00,BRosmainy,apa tindakan warden pihak pengurusan upnm dato sri,Phase 3
neutral,neutral,2018-08-16 14:26:00,malaymail,friend send poisonpen letter abuse zulfarhan osman avoid similar treatment,Phase 2
neutral,neutral,2024-07-23 05:55:00,nikhajarr,recap arwah zulfarhan murder case osman zulkarnain finalyear naval cadet upnm may accuse fellow cadet steal laptop lead tragic series event,Phase 4
negative,negative,2025-03-01 03:22:00,epirhotshot,mahkamah bukan sebelah dekat neraka memang terjun tiruk masuk terus xtau la bidang ilmu hgpa law macam mana tetapi bila ubah keputusan sepatutnya thats good luck sana nanti,Phase 4
neutral,neutral,2019-01-23 13:10:00,NST_Online,nstcourt witness saw one accuse cadet marine officer zulfarhan osman zulkarnain murder case hold steam iron,Phase 2
positive,positive,2024-07-23 04:44:00,tieamirul,alhamdulillah kau bunuh anak orang hancurkan hati ibu ayahnya nak lihat berjaya menyarung baju kebanggaan negara memang inilah balasan setimpal atas kamu,Phase 4
neutral,neutral,2017-06-05 11:31:00,MalaysiaGazette,individual may arrest murder zulfarhan osman,Phase 1
negative,negative,2025-03-01 02:11:00,SirRdiShah,berpuluh kali tekap cakap sengaja,Phase 4
positive,positive,2024-07-23 04:58:00,_user131095,alhamdulillah,Phase 4
negative,negative,2021-11-04 01:13:00,Ziziyan8,gerammm,Phase 3
negative,negative,2025-03-01 01:16:00,BilliBear3,membuli dikatakan sengaja,Phase 4
negative,negative,2021-11-04 07:11:00,licrazyrichasia,sapa kahwin pembunuhpembunuh arwah zulfarhan memang sah akal dekat buku lali,Phase 3
negative,negative,2018-06-29 12:18:00,seowonra,cepatlah hukum mati mandatori dekat dieorang allah geramnya jantan bodoh macam bukan manusia binatang namanya mak bapak anak membunuh still nak selamatkan alahai,Phase 2
negative,negative,2021-11-03 05:47:00,Norisma1906,kifarah ttp adawait seeuntuk hakim doakan jugak mendapat balasan setimpal atas ketidakadilan kes niallah swt pernah tidur,Phase 3
positive,positive,2017-06-03 07:00:00,SAYSPhilippines,know late navy cadet officer zulfarhan osman zulkarnain polite softspoken nature,Phase 1
neutral,neutral,2021-11-15 23:03:00,aliranmalaysia,kill cadet zulfarhan osman zulkarnain symptom something,Phase 3
negative,negative,2025-03-01 00:48:00,XC_nurulnad,dik benda sengaja ter islam sekali kalau dah kau tekap berkali bukan,Phase 4
neutral,neutral,2024-05-14 15:19:00,staronline,five former student universiti pertahanan nasional malaysia upnm withdrawn appeal conviction threeyear prison sentence injure cadet officer zulfarhan osman zulkarnain seven year ago,Phase 3
neutral,neutral,2021-11-03 07:11:00,staronline,verdict naval cadet zulfarhan osmans case hisham warn upnm armed force never let heinous act recur,Phase 3
negative,neutral,2021-11-03 05:43:00,baganmariiii,fcking laptop bomoh allegedly say zulfarhan stole get awayhe start,Phase 3
neutral,neutral,2021-11-03 06:46:00,Media_Selangor,selangor journal upnm maf tell let incident befall zulfarhan osman happen,Phase 3
neutral,neutral,2019-07-31 10:32:00,Daddylishes,murder zulfarhan osman,Phase 2
negative,negative,2024-11-09 01:22:00,kennichi1988,tutup upnm kalau issue buli terus menerus dekat sana,Phase 4
