Actual,Predicted,Date,Username,Tweet
positive,neutral,3/11/2021 8:33,ParisAr42442891,tiada katakata nak titipkan ibu bapa arwah melainkan doa moga sentiasa yakin bahawa allah maha adil kuatkan semangat bersama penyayang
negative,negative,28/2/2025 15:08,yrmallork,hakim percaya kata jahanam kau tenang jugak hidup
neutral,neutral,29/12/2020 7:39,fmtoday,forensic expert testifies case upnm student charge murder abet injure zulfarhan osman zulkarnain fmtnews highcourt
negative,negative,24/7/2024 13:02,DrWiket,tolong tengok balik record visit allahyarham klinik tersebut macam mana doktor bertugas discharge patient mengalami severe burn wound tb area gt nd degree rd termasuk bahagian kemaluan
positive,positive,28/2/2025 11:18,AiShiho1,allahsemoga allah swt berikan ketabahan kekuatan kepada keluarga allahyarham zulfarhan
positive,positive,23/7/2024 5:42,Tuliiipps,keadilan arwah semoga mnjadi pengajaran
positive,positive,26/7/2024 11:12,TemporaryWorld9,sokong saman upnm bukan dapat duit sahaja tetapi supaya insaf pastikan jenayah menimpa arwah zulfalhan berlaku kepada anak orang lain
negative,negative,28/2/2025 14:23,inanobiy,tapi zulfarhan terbukti mati
negative,negative,28/2/2025 16:24,Zeiaasnawi,nak gambar pembunuh latestkalau masa keluar penjara tahun datang tolong siarkan muka secara live tengok supaya pulaukan sampai mampu hidup masyarakathidup la ketakutan bersalah seumur
neutral,neutral,29/12/2020 9:25,MalaysiaGazette,naval cadet officer zulfarhan osman zulkarnain die bacterial infection chest major burn sequela malaysiagazette
negative,negative,10/11/2023 13:58,Sauffie84,kalau buat hal semua tunggu tauliah dah terlepas hukuman mati masa depan gelap temuduga kerja majikan mesti tanya apahal ada nombor tentera cop penjara kau kena buang dekat belakang mykad tulis b nak
neutral,neutral,26/7/2024 9:49,malaymail,parent late zulfarhan osman today say none individual responsible son death come forward apologise since incident radio interview father zulkarnain idros mother hawa accuse
neutral,neutral,15/8/2024 1:00,aliranmalaysia,human right commission malaysia suhakam express deepest condolence family zulfarhan osman zulkarnain whose tragic death june profoundly affect nation abolishmentofdeathpenalty
neutral,neutral,26/4/2018 11:27,bernamadotcom,witness unsure zulfarhan osman allergic prescribed medication
positive,positive,1/3/2025 3:41,NNisamustafa,commit crime punishment nauzubillahiminzalik jihad amar makruf nahi mungkar reminder buat semua
neutral,neutral,23/7/2024 6:24,PrimaFacie_99,huge malaysian court appeal pronounce death penalty penal code zulfarhan osman murder mandatory abolish might one first ever case court trigger discretion
positive,positive,1/3/2025 3:41,NNisamustafa,commit crime punishment nauzubillahiminzalik jihad amar makruf nahi mungkar reminder buat semua
negative,negative,31/7/2019 5:58,Rahmanators,yeah gantung menghitung hari
neutral,neutral,5/11/2019 12:45,staronline,first accuse murder universiti pertahanan nasional malaysia upnm naval cadet officer zulfarhan osman zulkarnain admit place hot iron victim sole knee
positive,positive,3/6/2017 18:00,Aaaamaannn,heart dua family zulfarhan osman zulkarnian may allah help difficult time
positive,positive,25/7/2024 9:50,Scoopdotmy,instagram page whistleblower attempt seek help naval cadet zulfarhan osman zulkarnain senseless death flood wellwishes netizens
negative,negative,3/11/2021 5:58,zieabdullah69,kesemua budakbudak binatang manusia mana pergi otak nama student universiti memalukanduduklah kau dilokap tahunpadankan mukaelok diganyangkan tekap balik iron badan masingmasing
neutral,neutral,29/7/2024 12:13,nhakims,navy cadet burn death hot iron bullies｜zulfarhan osman via
positive,neutral,1/3/2025 5:32,bvbblystvr,ada baca komen anggap allah izinkan semua keputusan sebab nak settle dekat akhirat biarkan ibu bapa arwah zulfarhan sebagai orang teraniaya sampai bila doa depa makbul
neutral,neutral,1/3/2025 3:11,imannuraim,dark side court case defend anything lessen charge againts client
neutral,neutral,30/3/2021 12:14,bernamadotcom,upnm student tell kuala lumpur high court today someone punch cadet marine officer zulfarhan osman zulkarnain victim room university jebat hostel building
positive,positive,9/7/2019 4:35,mixbear09,sempat ramai mendoakan supaya arwah dapat keadilan
negative,negative,2/11/2021 22:49,xiraazira,dah tau cedera macam kau bagi tahun kenapa kurang tambah la sebatan adoii kalau da cakap ada niat membunuh abis die hentam arwah apa bergurau senda
positive,positive,24/7/2024 2:04,Jeff4Malaysia,justice year court appeal impose death sentence former national defence university upnm student murder navy cadet zulfarhan osman zulkarnain perwira culture want zul farhan die vain
positive,positive,5/6/2017 15:09,emmericium,alfatihah arwah zulfarhan osman dont know hope allah put among pious may grant highest paradise
neutral,neutral,27/7/2024 3:00,syamhassan,manamana lawyer sudi bantu
neutral,neutral,26/7/2024 11:25,zee_yusoff,pmx would despise online bully case rm price tag first time offender also channel energy curb kind kill slowly mentally amp physically assist father decease uphold justice
negative,negative,28/2/2025 13:47,Nemo_Dessert,hukum mati bagi diaorg rasa apa arwah dah nak masuk bulan puasa maki hamun
neutral,neutral,31/7/2019 12:18,NewsBFM,national defence university malaysia student order kl high court enter murder case cadet officer zulfarhan osman zulkarnain come prosecution successfully prove prima facie end submission
neutral,neutral,3/11/2021 11:27,lawreviewUM,cause death marine cadet officer zulfarhan osman zulkarnain although prosecution prove harmed six accuse fail prove intention murder
negative,negative,28/2/2025 12:02,atehhhhhhhhh,kalau kematian takat penjara kes buli lain kira picisan la pantat
neutral,neutral,2/11/2021 7:37,GeorgeGerald,upnm student find guilty culpable homicide death zulfarhan osman
neutral,neutral,2/11/2021 7:37,GeorgeGerald,upnm student find guilty culpable homicide death zulfarhan osman
neutral,neutral,17/11/2017 11:40,SCMPNews,malaysian tragedy torture murder cadet zulfarhan osman
positive,positive,16/5/2024 1:52,fazz_dongiltiny,sokong buat ape nak bazir duit menyara pembunuh penjara
positive,positive,2/3/2025 0:32,shazwani_osman,family arwah sebagai orang teranaiya inshaaallah dimakbulkan doa allah bagi balasan kepada terlibat secara langsung amp dunia akhirat
neutral,neutral,30/12/2020 0:57,dhiyaafie,maksudnya mangsa meninggal bukan dibunuh sorry kurang jelas perenggan kedua
negative,negative,28/2/2025 12:23,Astral_5,lawyer amp pakar beratur belakang mstar nanti
neutral,neutral,23/1/2019 13:10,NST_Online,nstcourt witness saw one accuse cadet marine officer zulfarhan osman zulkarnain murder case hold steam iron
positive,positive,26/7/2024 12:33,ImDianaDanielle,uncle saman tolong behind pandai buka uni panda jaga pelajar enroll diam betul upmn
neutral,neutral,1/11/2021 7:33,NST_Online,nstnation university pertahanan nasional malaysia upnm student stand trial death cadet officer zulfarhan osman zulkarnain four year ago learn fate tomorrow
negative,negative,2/3/2025 2:02,AbdulAedy,bagi pakar rasa kena iron steam macam mana
negative,negative,16/5/2024 0:08,Reban88591851,setuju ekor dicucuh seterika kote teloq sehingga cair
positive,positive,23/7/2024 8:14,Scoopdotmy,alhamdulillah finally along tragic death avenge sentiment express family late zulfarhan osman zulkarnain fondly know member court appeal today order six former student upnm hang
neutral,neutral,30/12/2020 0:57,dhiyaafie,maksudnya mangsa meninggal bukan dibunuh sorry kurang jelas perenggan kedua
neutral,neutral,27/7/2024 7:06,NewsBFM,malaysian crime prevention foundation say death sentence hand former upnm student murder zulfarhan osman appropriate mcpf disagree objection raise suhakam need
neutral,neutral,26/7/2024 9:49,malaymail,parent late zulfarhan osman today say none individual responsible son death come forward apologise since incident radio interview father zulkarnain idros mother hawa accuse
neutral,neutral,23/7/2024 5:04,NewsBFM,court appeal impose death sentence six former upnm student convict murder navy cadet zulfarhan osman zulkarnain say warrant give cruelty accused action
positive,positive,31/7/2019 4:42,RaziAriff,tahniah pasukan pendakwaan
negative,negative,23/7/2024 9:30,hazlamiharun1,patutnya warden ketika kejadian tuu ambil tindakan
negative,neutral,3/11/2021 3:17,brothetman,diwaktu sama jangan terlepas pandang kisah sedih arwah adib hingga kini keadilan dicari belum diketemui semestinya mak lampir menunaikan janji palsunya
neutral,neutral,25/7/2024 18:10,NST_Online,nstletters death national defence university upnm navy cadet zulfarhan osman zulkarnain shock nation bully
negative,negative,9/11/2024 17:03,guaneramok,kira selamat tinggal karier kerajaan angkatan bersenjatalepas duduk masyarakat ubah perangai jangan suka membuli orang lainpanjang lain perjalanan hiduppilih baik
neutral,neutral,2/11/2021 4:59,MNowNews,kuala lumpur high court say cause injury zulfarhan osman without intent kill mnow upnm homicide
negative,negative,1/3/2025 6:08,norhananiza,pakar mana sial
negative,negative,28/2/2025 9:13,SaifulA77188378,berlaku salah amp dapati bersalah mahkamah dua perkara berbeza ia bergantung kepada kebijaksanaan peguam berhujah peritkan tapi kaedah digunapakai law justice mutually exclusive
positive,positive,27/7/2024 15:21,KucinSuzzy,saman kerajaan warden sekali
negative,negative,8/11/2024 18:01,TheTulip__,benda berlarutan selagi de warden kena apa tindakan mana kenapa berlaku kes macam lepas melibatkan pelajar sebab budaya rag dekat sana dianggap biasa
positive,positive,24/7/2024 14:02,khairlrazi,selalunya membuli mak bapak orang besar dibuli biasa sedang hangat bicara kes ada buli berlaku semoga allah lindungi keluarga drpd ujian sebegini
neutral,neutral,24/10/2018 14:51,baikragu,tomorrow court hear zulfarhan osman murder case
negative,negative,1/3/2025 5:35,atamasho,bodohnya pakar jenis apa sial macamni orang dah kena belasah pastu iron banyak kali bukan sekali la bodoh memang bangang malaysia joke
positive,positive,27/7/2024 13:25,solennjk,tolong saman pakcik tolonglah upnm lepas tangan menjalankan tanggungjawab sepatutnya ramai student teraniaya least mungkin polisi universiti berubah lebih mementingkan kebajikan
positive,positive,16/5/2024 12:31,m_iqone,betapa siksa sadisnya arwah kesakitan penderaan dilakukan pembunuh inihukuman mati setimpal perbuatan seumpama
positive,positive,17/5/2024 8:44,hui_guifei,kenapa pendakwa raya minta hukuman maximum sebab tahu laporan penuh macam mana arwah zulfarhan diseksa terseksa sehingga nafas terakhir
positive,positive,5/6/2017 6:34,HanaFisyora,justice zulfarhan osman
neutral,neutral,3/11/2021 6:50,TMReserve,upnm atm tell let incident befall zulfarhan osman happen
neutral,neutral,30/3/2021 12:14,bernamadotcom,upnm student tell kuala lumpur high court today someone punch cadet marine officer zulfarhan osman zulkarnain victim room university jebat hostel building
negative,negative,23/7/2024 23:16,iam_amli,rasa gantung ez disebabkan diaorng tau kematian depa betulbetul taubat adil kalau letak penjara mereput seumur hidup biar erti penyesalan idk im judge
neutral,neutral,7/8/2024 15:13,Jefflee8084Lee,july six former student national defense university malaysia upnm sentence death malaysian court appeal murder naval cadet zulfarhan osman zulkarnain seven year ago
positive,positive,28/2/2025 8:13,Honey_150214,justice zulfarhan osman
negative,negative,1/3/2025 2:51,filiaandree,speak volume justice system country also send distressing message bully victim everywhere powerless
negative,negative,1/3/2025 0:47,Arep_Cantona,ayat sekumpulan babi pembunuh kejam
neutral,neutral,24/1/2019 4:07,mhdfdllh,salah hakim ketuk tukul jatuhkan hukuman belum
neutral,neutral,7/3/2025 10:58,umconstiteam,upnm bully case death sentence overturn zulfarhan osman remain tragic reminder danger haze institutional violence spark national debate justice accountability student safety umct infographics
positive,positive,23/7/2024 10:55,hotchwife,bayangkan seluruh negara bersyukur dijatuhkan hukuman gantung besarnya doa orang teraniaya mata allah rest well mak ayah zulfarhan guy serve justice son stead
positive,positive,23/7/2024 4:51,tolakrasuah,terbaik sebagai pengajaran
positive,positive,16/5/2024 2:02,lostmygodamind,nyawa bayar payah nak bela pembunuhpembunuh berguna dah tiada masa depan elok mati sekor
neutral,neutral,19/6/2017 15:23,levibih07,mendiang nhaveen amp arwah zulfarhan osman really open eye extent bully malaysia get
negative,negative,9/7/2019 7:17,yoizfxiz,mana budakbudak dapat duit hire lawyer profil tinggi gila babi siot
positive,positive,29/6/2018 7:22,peachjahashim,may justice serve upnm cadet officer zulfarhan osman zulkarnain torture student high court tell
neutral,neutral,3/11/2021 7:07,ZyiteGadgets,verdict naval cadet zulfarhan osmans case hisham warn upnm armed force never let heinous act recur
positive,positive,27/7/2024 15:43,miruladdin,saman jangan bagi muka
neutral,neutral,3/11/2021 0:42,rahmatrashid,siapa kah doktor klinik swasta bertanggung jawab
neutral,neutral,23/7/2024 5:55,nikhajarr,recap arwah zulfarhan murder case osman zulkarnain finalyear naval cadet upnm may accuse fellow cadet steal laptop lead tragic series event
positive,positive,31/7/2019 1:48,nabilahrshdn,pray amp hope justice prevail today arwah zulfarhan osman justiceforzulfarhan
positive,positive,26/7/2024 13:05,Rf96Rf96,saman
positive,positive,2/3/2025 0:32,shazwani_osman,family arwah sebagai orang teranaiya inshaaallah dimakbulkan doa allah bagi balasan kepada terlibat secara langsung amp dunia akhirat
neutral,neutral,1/11/2024 3:15,malaymail,father murder army cadet zulfarhan osman zulkarnain express sadness abuse still happen universiti pertahanan nasional malaysia upnm harian metro cite idros say shock similar suffer late son
neutral,neutral,3/6/2017 0:38,MalaysiaGazette,navy cadet zulfarhan osman death investigate via malaysiagazette
positive,positive,14/2/2024 10:48,Mariya_takeuci,year already alfatihah zulfarhan osman
negative,negative,27/7/2024 11:18,Iskanda28144900,mana badan peguam patut nya isu kena ambil peduli
positive,positive,24/7/2024 2:04,Jeff4Malaysia,justice year court appeal impose death sentence former national defence university upnm student murder navy cadet zulfarhan osman zulkarnain perwira culture want zul farhan die vain
negative,negative,25/7/2024 9:07,HzzLsa,kenapa warden kena apaapa langsung bersuka ria dekat luar tunggu pembalasan dunia akhirat menanti
positive,positive,16/5/2024 10:50,Jaen8347,elok la hukum gantung sampai mati
neutral,neutral,18/6/2024 13:41,Margare96602396,navy cadet burn death hot iron bullies｜zulfarhan osman via
neutral,neutral,7/3/2025 10:58,umconstiteam,upnm bully case death sentence overturn zulfarhan osman remain tragic reminder danger haze institutional violence spark national debate justice accountability student safety umct infographics
neutral,neutral,23/7/2024 5:04,NewsBFM,court appeal impose death sentence six former upnm student convict murder navy cadet zulfarhan osman zulkarnain say warrant give cruelty accused action
neutral,neutral,18/6/2024 13:41,Margare96602396,navy cadet burn death hot iron bullies｜zulfarhan osman via
negative,negative,28/2/2025 15:05,f4me_z4u,fungsi ka undangundang malaysia
negative,negative,2/3/2025 2:02,AbdulAedy,bagi pakar rasa kena iron steam macam mana
negative,negative,28/2/2025 10:54,SyfqqAmirul,semoga mampus penjara
neutral,neutral,9/4/2020 16:50,syeraaaa6,punishment retribution
negative,negative,28/2/2025 13:59,HilmiYang,dah tekap seterika sengaja aje nye kepala butoh
neutral,neutral,10/12/2021 8:08,maf73,case zulfarhan osman zulkarnain everyone know dont need elaborate
negative,negative,3/11/2021 3:58,RichardMalek11,tenterabunuh dn bunuhbunuh musuh bukan kawan sendiri
positive,positive,27/7/2024 7:08,freifechter,think fair guy six torture zulfarhan osman two day
neutral,neutral,1/11/2021 7:59,imminent_news,🇲🇾 nstnation university pertahanan nasional malaysia upnm student stand trial death cadet officer zulfarhan osman zulkarnain four year ago learn fate tomorrow mostshared
negative,neutral,7/9/2020 15:36,AzliyatunShima,sicken reminds zulfarhan osman case
neutral,neutral,3/6/2017 8:24,UpdatesMalaysia,higher education ministry view zulfarhan osmans death seriously minis
neutral,neutral,5/11/2019 12:45,staronline,first accuse murder universiti pertahanan nasional malaysia upnm naval cadet officer zulfarhan osman zulkarnain admit place hot iron victim sole knee
positive,positive,24/7/2024 12:58,ritzramo,lepas nie kes adib pula dapat keadilan sepenuhnya
positive,positive,23/7/2024 5:42,Tuliiipps,keadilan arwah semoga mnjadi pengajaran
positive,positive,25/7/2024 8:27,Peaceworld9111,terbaik leftenan pegawai tentera prihatin
positive,positive,23/7/2024 8:14,Scoopdotmy,alhamdulillah finally along tragic death avenge sentiment express family late zulfarhan osman zulkarnain fondly know member court appeal today order six former student upnm hang
neutral,neutral,1/11/2021 7:59,imminent_news,🇲🇾 nstnation university pertahanan nasional malaysia upnm student stand trial death cadet officer zulfarhan osman zulkarnain four year ago learn fate tomorrow mostshared
positive,positive,27/7/2024 0:27,apis_sudin,saman ja jangan amik lawyer melayu mesti upnm kalah
neutral,neutral,2/11/2021 6:37,daily_malaysian,high court sentence six student national defence university upnm year jail cause death navy cadet zulfarhan osman zulkarnain four ago malaysia malaysiaprihatin menangbersama
negative,negative,1/3/2025 21:35,FirashAliff,pergi mampos korang punya menyesal babiii ekor keturunan babi mak bapak pandai main memang tersiall
negative,negative,25/7/2024 11:40,MalayaKristen,news zulfarhan osman zulkarnain murder belacan specie stray moral law islams allah satan guide misguid e whoever like murderous prophet also deserve deepest level hell compare adolf hiltles
positive,positive,16/5/2024 8:55,Mukhlis09_,hutang darah dibayar
positive,positive,26/7/2024 14:40,Farishaafrnaaa,sampai ada kematian memang patut disaman pihak pengurusan upnm terlibat secara langsung diambil tindakan alert kebajikan pelajar
negative,negative,1/3/2025 1:38,aimannhaakimm,orang buat patutnya experiment seterika kali dekat badan tengok semestinya mati berfungsi dr situ average berapa hidup
positive,positive,16/5/2024 1:52,fazz_dongiltiny,sokong buat ape nak bazir duit menyara pembunuh penjara
positive,positive,16/5/2024 2:07,Rainism08,yes punishment take
neutral,neutral,2/6/2017 23:23,mynameissyauqi,want aware bullyingturned murder case half hour agozulfarhan osman bin zulkarnain navy cadet upnm pass yo
positive,positive,26/7/2024 13:12,MekMomek72461,mulakan saman balik pakcik sekarang zaman madani jangan risau
positive,positive,9/7/2019 4:35,mixbear09,sempat ramai mendoakan supaya arwah dapat keadilan
negative,negative,10/4/2020 4:57,Arezhami,apelah susah nak hukum iron badan one
neutral,neutral,3/11/2021 7:03,BRosmainy,apa tindakan warden pihak pengurusan upnm dato sri
neutral,neutral,16/8/2018 14:26,malaymail,friend send poisonpen letter abuse zulfarhan osman avoid similar treatment
neutral,neutral,23/7/2024 5:55,nikhajarr,recap arwah zulfarhan murder case osman zulkarnain finalyear naval cadet upnm may accuse fellow cadet steal laptop lead tragic series event
negative,negative,1/3/2025 3:22,epirhotshot,mahkamah bukan sebelah dekat neraka memang terjun tiruk masuk terus xtau la bidang ilmu hgpa law macam mana tetapi bila ubah keputusan sepatutnya thats good luck sana nanti
neutral,neutral,23/1/2019 13:10,NST_Online,nstcourt witness saw one accuse cadet marine officer zulfarhan osman zulkarnain murder case hold steam iron
positive,positive,23/7/2024 4:44,tieamirul,alhamdulillah kau bunuh anak orang hancurkan hati ibu ayahnya nak lihat berjaya menyarung baju kebanggaan negara memang inilah balasan setimpal atas kamu
neutral,neutral,5/6/2017 11:31,MalaysiaGazette,individual may arrest murder zulfarhan osman
negative,negative,1/3/2025 2:11,SirRdiShah,berpuluh kali tekap cakap sengaja
positive,positive,23/7/2024 4:58,_user131095,alhamdulillah
negative,negative,4/11/2021 1:13,Ziziyan8,gerammm
negative,negative,1/3/2025 1:16,BilliBear3,membuli dikatakan sengaja
negative,negative,4/11/2021 7:11,licrazyrichasia,sapa kahwin pembunuhpembunuh arwah zulfarhan memang sah akal dekat buku lali
negative,negative,29/6/2018 12:18,seowonra,cepatlah hukum mati mandatori dekat dieorang allah geramnya jantan bodoh macam bukan manusia binatang namanya mak bapak anak membunuh still nak selamatkan alahai
negative,negative,3/11/2021 5:47,Norisma1906,kifarah ttp adawait seeuntuk hakim doakan jugak mendapat balasan setimpal atas ketidakadilan kes niallah swt pernah tidur
positive,positive,3/6/2017 7:00,SAYSPhilippines,know late navy cadet officer zulfarhan osman zulkarnain polite softspoken nature
neutral,neutral,15/11/2021 23:03,aliranmalaysia,kill cadet zulfarhan osman zulkarnain symptom something
negative,negative,1/3/2025 0:48,XC_nurulnad,dik benda sengaja ter islam sekali kalau dah kau tekap berkali bukan
neutral,neutral,14/5/2024 15:19,staronline,five former student universiti pertahanan nasional malaysia upnm withdrawn appeal conviction threeyear prison sentence injure cadet officer zulfarhan osman zulkarnain seven year ago
neutral,neutral,3/11/2021 7:11,staronline,verdict naval cadet zulfarhan osmans case hisham warn upnm armed force never let heinous act recur
negative,neutral,3/11/2021 5:43,baganmariiii,fcking laptop bomoh allegedly say zulfarhan stole get awayhe start
neutral,neutral,3/11/2021 6:46,Media_Selangor,selangor journal upnm maf tell let incident befall zulfarhan osman happen
neutral,neutral,31/7/2019 10:32,Daddylishes,murder zulfarhan osman
negative,negative,9/11/2024 1:22,kennichi1988,tutup upnm kalau issue buli terus menerus dekat sana
